name,type,mana_cost,colors,produced_mana,power,tough,keywords,text,legal,rank,png,art,url,usd,usd_foil,eur,avg_synergy
Thalia and The Gitrog Monster,Legendary Creature — Human Frog Horror,4.0,"['B', 'G', 'W']",[],4,4,"['First strike', 'Deathtouch']","First strike, deathtouch
You may play an additional land on each of your turns.
Creatures and nonbasic lands your opponents control enter tapped.
Whenever Thalia and The Gitrog Monster attacks, sacrifice a creature or land, then draw a card.",1,2591,https://cards.scryfall.io/png/front/8/d/8d7ff937-de92-445f-976c-726fef5c91cc.png?1682205702,https://cards.scryfall.io/art_crop/front/8/d/8d7ff937-de92-445f-976c-726fef5c91cc.jpg?1682205702,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F484556%3Fpage%3D1,4.85,5.89,3.75,98.0
Go-Shintai of Life's Origin,Legendary Enchantment Creature — Shrine,4.0,['G'],[],3,4,[],"{W}{U}{B}{R}{G}, {T}: Return target enchantment card from your graveyard to the battlefield.
Whenever Go-Shintai of Life's Origin or another nontoken Shrine you control enters, create a 1/1 colorless Shrine enchantment creature token.",1,4995,https://cards.scryfall.io/png/front/9/4/9476fe67-d2d3-4835-8ba6-2a17d18cc141.png?1723704351,https://cards.scryfall.io/art_crop/front/9/4/9476fe67-d2d3-4835-8ba6-2a17d18cc141.jpg?1723704351,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F262843%3Fpage%3D1,4.17,12.76,4.35,98.0
"Winota, Joiner of Forces",Legendary Creature — Human Warrior,4.0,"['R', 'W']",[],4,4,[],"Whenever a non-Human creature you control attacks, look at the top six cards of your library. You may put a Human creature card from among them onto the battlefield tapped and attacking. It gains indestructible until end of turn. Put the rest of the cards on the bottom of your library in a random order.",1,4615,https://cards.scryfall.io/png/front/5/d/5dd13a6c-23d3-44ce-a628-cb1c19d777c4.png?1654630670,https://cards.scryfall.io/art_crop/front/5/d/5dd13a6c-23d3-44ce-a628-cb1c19d777c4.jpg?1654630670,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F212622%3Fpage%3D1,5.22,5.19,5.32,98.0
"Wilhelt, the Rotcleaver",Legendary Creature — Zombie Warrior,4.0,"['B', 'U']",[],3,3,[],"Whenever another Zombie you control dies, if it didn't have decayed, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)
At the beginning of your end step, you may sacrifice a Zombie. If you do, draw a card.",1,2052,https://cards.scryfall.io/png/front/2/5/2501a911-d072-436d-ae3b-a5164e3b30aa.png?1675456154,https://cards.scryfall.io/art_crop/front/2/5/2501a911-d072-436d-ae3b-a5164e3b30aa.jpg?1675456154,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F247841%3Fpage%3D1,13.94,11.79,11.41,98.0
"Teval, the Balanced Scale",Legendary Creature — Spirit Dragon,4.0,"['B', 'G', 'U']",[],4,4,"['Flying', 'Mill']","Flying
Whenever Teval attacks, mill three cards. Then you may return a land card from your graveyard to the battlefield tapped.
Whenever one or more cards leave your graveyard, create a 2/2 black Zombie Druid creature token.",1,9299,https://cards.scryfall.io/png/front/b/5/b5d1955a-9ff0-4f8b-9af8-341371957299.png?1743205705,https://cards.scryfall.io/art_crop/front/b/5/b5d1955a-9ff0-4f8b-9af8-341371957299.jpg?1743205705,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F619670%3Fpage%3D1,9.77,7.05,4.33,98.0
"Zimone, Mystery Unraveler",Legendary Creature — Human Wizard,4.0,"['G', 'U']",[],3,3,"['Manifest', 'Manifest dread', 'Landfall']","Landfall — Whenever a land you control enters, manifest dread if this is the first time this ability has resolved this turn. Otherwise, you may turn a permanent you control face up. (To manifest dread, look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",1,6930,https://cards.scryfall.io/png/front/3/0/30f23588-5064-48d9-a271-039df757f8d2.png?1726596680,https://cards.scryfall.io/art_crop/front/3/0/30f23588-5064-48d9-a271-039df757f8d2.jpg?1726596680,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F575097%3Fpage%3D1,0.45,0.32,0.38,98.0
Nine-Fingers Keene,Legendary Creature — Human Rogue,4.0,"['B', 'G', 'U']",[],4,4,"['Menace', 'Ward']","Menace
Ward—Pay 9 life.
Whenever Nine-Fingers Keene deals combat damage to a player, look at the top nine cards of your library. You may put a Gate card from among them onto the battlefield. Then if you control nine or more Gates, put the rest into your hand. Otherwise, put the rest on the bottom of your library in a random order.",1,6066,https://cards.scryfall.io/png/front/5/4/5480ac0a-883a-4f73-8e7c-56d64be410a3.png?1674137637,https://cards.scryfall.io/art_crop/front/5/4/5480ac0a-883a-4f73-8e7c-56d64be410a3.jpg?1674137637,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272941%3Fpage%3D1,0.15,0.21,0.15,98.0
Hakbal of the Surging Soul,Legendary Creature — Merfolk Scout,4.0,"['G', 'U']",[],3,3,['Explore'],"At the beginning of combat on your turn, each Merfolk creature you control explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on the exploring creature, then put the card back or put it into your graveyard.)
Whenever Hakbal attacks, you may put a land card from your hand onto the battlefield. If you don't, draw a card.",1,3471,https://cards.scryfall.io/png/front/e/7/e738e675-4fd1-4bc3-97f5-71d0e2fc3f2e.png?1699885010,https://cards.scryfall.io/art_crop/front/e/7/e738e675-4fd1-4bc3-97f5-71d0e2fc3f2e.jpg?1699885010,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F524264%3Fpage%3D1,0.47,0.21,0.59,98.0
Zurgo and Ojutai,Legendary Creature — Orc Dragon,5.0,"['R', 'U', 'W']",[],4,4,"['Flying', 'Haste']","Flying, haste
Zurgo and Ojutai has hexproof as long as it entered this turn.
Whenever one or more Dragons you control deal combat damage to a player or battle, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order. You may return one of those Dragons to its owner's hand.",1,6827,https://cards.scryfall.io/png/front/e/a/eacbcd82-36e6-424c-bd4e-ec3a584836c5.png?1682205733,https://cards.scryfall.io/art_crop/front/e/a/eacbcd82-36e6-424c-bd4e-ec3a584836c5.jpg?1682205733,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F490405%3Fpage%3D1,2.40,2.00,1.57,98.0
"Eshki, Temur's Roar",Legendary Creature — Human Warrior,3.0,"['G', 'R', 'U']",[],2,2,[],"Whenever you cast a creature spell, put a +1/+1 counter on Eshki. If that spell's power is 4 or greater, draw a card. If that spell's power is 6 or greater, Eshki deals damage equal to Eshki's power to each opponent.",1,11983,https://cards.scryfall.io/png/front/f/f/ff9aa863-8773-452d-946c-ae334c632e11.png?1743205682,https://cards.scryfall.io/art_crop/front/f/f/ff9aa863-8773-452d-946c-ae334c632e11.jpg?1743205682,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F623910%3Fpage%3D1,4.11,2.65,3.09,98.0
The Jolly Balloon Man,Legendary Creature — Human Clown,3.0,"['R', 'W']",[],1,4,['Haste'],"Haste
{1}, {T}: Create a token that's a copy of another target creature you control, except it's a 1/1 red Balloon creature in addition to its other colors and types and it has flying and haste. Sacrifice it at the beginning of the next end step. Activate only as a sorcery.",1,3936,https://cards.scryfall.io/png/front/a/3/a3c4e2e0-1c0e-475d-a0f4-1be4216c2bad.png?1726286682,https://cards.scryfall.io/art_crop/front/a/3/a3c4e2e0-1c0e-475d-a0f4-1be4216c2bad.jpg?1726286682,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F575080%3Fpage%3D1,0.59,0.77,0.38,97.0
"Muldrotha, the Gravetide",Legendary Creature — Elemental Avatar,6.0,"['B', 'G', 'U']",[],6,6,[],"During each of your turns, you may play a land and cast a permanent spell of each permanent type from your graveyard. (If a card has multiple permanent types, choose one as you play it.)",1,1487,https://cards.scryfall.io/png/front/5/1/51710b19-68e3-4853-901f-e618bde61161.png?1730489512,https://cards.scryfall.io/art_crop/front/5/1/51710b19-68e3-4853-901f-e618bde61161.jpg?1730489512,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F589776%3Fpage%3D1,3.44,4.77,1.57,97.0
Scion of the Ur-Dragon,Legendary Creature — Dragon Avatar,5.0,"['B', 'G', 'R', 'U', 'W']",[],4,4,['Flying'],"Flying
{2}: Search your library for a Dragon permanent card and put it into your graveyard. If you do, Scion of the Ur-Dragon becomes a copy of that card until end of turn. Then shuffle.",1,4886,https://cards.scryfall.io/png/front/5/6/565b2a40-57b1-451f-8c2a-e02222502288.png?1562608891,https://cards.scryfall.io/art_crop/front/5/6/565b2a40-57b1-451f-8c2a-e02222502288.jpg?1562608891,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F139827%3Fpage%3D1,9.82,,4.59,97.0
The First Sliver,Legendary Creature — Sliver,5.0,"['B', 'G', 'R', 'U', 'W']",[],7,7,['Cascade'],"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)
Sliver spells you cast have cascade.",1,3865,https://cards.scryfall.io/png/front/0/6/06d4fbe1-8a2f-4958-bb85-1a1e5f1e8d87.png?1562202321,https://cards.scryfall.io/art_crop/front/0/6/06d4fbe1-8a2f-4958-bb85-1a1e5f1e8d87.jpg?1562202321,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F190877%3Fpage%3D1,37.33,72.92,30.54,97.0
"Glarb, Calamity's Augur",Legendary Creature — Frog Wizard Noble,3.0,"['B', 'G', 'U']",[],2,4,"['Surveil', 'Deathtouch']","Deathtouch
You may look at the top card of your library any time.
You may play lands and cast spells with mana value 4 or greater from the top of your library.
{T}: Surveil 2.",1,5371,https://cards.scryfall.io/png/front/f/f/ffc70b2d-5a3a-49ea-97db-175a62248302.png?1721427068,https://cards.scryfall.io/art_crop/front/f/f/ffc70b2d-5a3a-49ea-97db-175a62248302.jpg?1721427068,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F558331%3Fpage%3D1,4.21,5.53,3.30,97.0
Marneus Calgar,Legendary Creature — Astartes Warrior,5.0,"['B', 'U', 'W']",[],3,5,"['Double strike', 'Master Tactician', 'Chapter Master']","Double strike
Master Tactician — Whenever one or more tokens you control enter, draw a card.
Chapter Master — {6}: Create two 2/2 white Astartes Warrior creature tokens with vigilance.",1,4612,https://cards.scryfall.io/png/front/e/7/e7517e8e-b424-4731-ba9d-6132bdefa6bf.png?1674058408,https://cards.scryfall.io/art_crop/front/e/7/e7517e8e-b424-4731-ba9d-6132bdefa6bf.jpg?1674058408,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F285804%3Fpage%3D1,,33.37,,97.0
"Otharri, Suns' Glory",Legendary Creature — Phoenix,5.0,"['R', 'W']",[],3,3,"['Flying', 'Lifelink', 'Haste']","Flying, lifelink, haste
Whenever Otharri attacks, you get an experience counter. Then create a 2/2 red Rebel creature token that's tapped and attacking for each experience counter you have.
{2}{R}{W}, Tap an untapped Rebel you control: Return this card from your graveyard to the battlefield tapped.",1,2820,https://cards.scryfall.io/png/front/8/0/80c72839-0fa6-4b5f-83b7-6553ebf09bef.png?1738281232,https://cards.scryfall.io/art_crop/front/8/0/80c72839-0fa6-4b5f-83b7-6553ebf09bef.jpg?1738281232,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F478415%3Fpage%3D1,1.45,3.55,0.57,97.0
Arcane Signet,Artifact,2.0,[],"['B', 'G', 'R', 'U', 'W']",0,0,[],{T}: Add one mana of any color in your commander's color identity.,1,3,https://cards.scryfall.io/png/front/9/3/935644d4-a140-4f24-b8ab-d5e79a682a9b.png?1743206090,https://cards.scryfall.io/art_crop/front/9/3/935644d4-a140-4f24-b8ab-d5e79a682a9b.jpg?1743206090,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624048%3Fpage%3D1,0.45,,0.47,96.0
"Kyodai, Soul of Kamigawa",Legendary Creature — Dragon Spirit,4.0,['W'],[],3,3,"['Flying', 'Flash']","Flash
Flying
When Kyodai enters, another target permanent gains indestructible for as long as you control Kyodai.
{W}{U}{B}{R}{G}: Kyodai gets +5/+5 until end of turn.",1,8924,https://cards.scryfall.io/png/front/c/b/cbbfd21e-96f1-4e5b-8546-73bb5a887b98.png?1654566369,https://cards.scryfall.io/art_crop/front/c/b/cbbfd21e-96f1-4e5b-8546-73bb5a887b98.jpg?1654566369,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F262037%3Fpage%3D1,0.19,0.20,0.17,96.0
"Lathliss, Dragon Queen",Legendary Creature — Dragon,6.0,['R'],[],6,6,['Flying'],"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",1,1041,https://cards.scryfall.io/png/front/0/c/0cb48015-627b-49cd-8dc3-d446e82b8172.png?1743206700,https://cards.scryfall.io/art_crop/front/0/c/0cb48015-627b-49cd-8dc3-d446e82b8172.jpg?1743206700,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624935%3Fpage%3D1,1.35,,1.85,96.0
"Coram, the Undertaker",Legendary Creature — Human Warrior,4.0,"['B', 'G', 'R']",[],0,5,['Mill'],"Coram gets +X/+0, where X is the greatest power among creature cards in all graveyards.
Whenever Coram attacks, each player mills a card.
During each of your turns, you may play a land and cast a spell from among cards in graveyards that were put there from libraries this turn.",1,6895,https://cards.scryfall.io/png/front/a/b/ab5cfb0c-8e95-4d2d-9e23-cf58c1c7e51c.png?1727175651,https://cards.scryfall.io/art_crop/front/a/b/ab5cfb0c-8e95-4d2d-9e23-cf58c1c7e51c.jpg?1727175651,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F552428%3Fpage%3D1,0.20,0.19,0.18,96.0
"Firkraag, Cunning Instigator",Legendary Creature — Dragon,5.0,"['R', 'U']",[],3,3,"['Flying', 'Goad', 'Haste']","Flying, haste
Whenever one or more Dragons you control attack an opponent, goad target creature that player controls.
Whenever a creature deals combat damage to one of your opponents, if that creature had to attack this combat, you put a +1/+1 counter on Firkraag and you draw a card.",1,4166,https://cards.scryfall.io/png/front/b/5/b55e624b-6f6a-42ae-89aa-0cc62ee55a31.png?1674140684,https://cards.scryfall.io/art_crop/front/b/5/b55e624b-6f6a-42ae-89aa-0cc62ee55a31.jpg?1674140684,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272614%3Fpage%3D1,,9.87,,96.0
Queen Marchesa,Legendary Creature — Human Assassin,4.0,"['B', 'R', 'W']",[],3,3,"['Haste', 'Deathtouch']","Deathtouch, haste
When Queen Marchesa enters, you become the monarch.
At the beginning of your upkeep, if an opponent is the monarch, create a 1/1 black Assassin creature token with deathtouch and haste.",1,2248,https://cards.scryfall.io/png/front/0/f/0fdae05f-7bdc-45fb-b9b9-e5ec3766f965.png?1712354769,https://cards.scryfall.io/art_crop/front/0/f/0fdae05f-7bdc-45fb-b9b9-e5ec3766f965.jpg?1712354769,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F545339%3Fpage%3D1,0.36,,0.51,96.0
"Azlask, the Swelling Scourge",Legendary Creature — Eldrazi,3.0,[],[],2,2,[],"Whenever Azlask or another colorless creature you control dies, you get an experience counter.
{W}{U}{B}{R}{G}: Creatures you control get +X/+X until end of turn, where X is the number of experience counters you have. Scions and Spawns you control gain indestructible and annihilator 1 until end of turn.",1,6229,https://cards.scryfall.io/png/front/c/e/ced9db11-ba95-4b09-89b6-0b49ffb1fa82.png?1727175670,https://cards.scryfall.io/art_crop/front/c/e/ced9db11-ba95-4b09-89b6-0b49ffb1fa82.jpg?1727175670,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F552435%3Fpage%3D1,0.28,0.23,0.27,96.0
Eshki Dragonclaw,Legendary Creature — Human Warrior,4.0,"['G', 'R', 'U']",[],4,4,"['Vigilance', 'Trample', 'Ward']","Vigilance, trample, ward {1}
At the beginning of combat on your turn, if you've cast both a creature spell and a noncreature spell this turn, draw a card and put two +1/+1 counters on Eshki Dragonclaw.",1,17349,https://cards.scryfall.io/png/front/0/d/0d369c44-78ee-4f3c-bf2b-cddba7fe26d4.png?1743204706,https://cards.scryfall.io/art_crop/front/0/d/0d369c44-78ee-4f3c-bf2b-cddba7fe26d4.jpg?1743204706,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624069%3Fpage%3D1,0.23,0.35,0.02,96.0
