usd,name,synergy,type,mana_cost,colors,produced_mana,power,tough,keywords,rarity,text,rank,png,art,url
0.45,Arcane Signet,27761.5,Artifact,{2},,"B,G,R,U,W",,,,uncommon,{T}: Add one mana of any color in your commander's color identity.,3,https://cards.scryfall.io/png/front/9/3/935644d4-a140-4f24-b8ab-d5e79a682a9b.png?1743206090,https://cards.scryfall.io/art_crop/front/9/3/935644d4-a140-4f24-b8ab-d5e79a682a9b.jpg?1743206090,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624048%3Fpage%3D1
2.87,Assassin's Trophy,9952.8,Instant,{B}{G},"B,G",,,,,rare,"Destroy target permanent an opponent controls. Its controller may search their library for a basic land card, put it onto the battlefield, then shuffle.",123,https://cards.scryfall.io/png/front/e/d/ed6c7d29-71b4-4134-b591-5598f479d592.png?1706242115,https://cards.scryfall.io/art_crop/front/e/d/ed6c7d29-71b4-4134-b591-5598f479d592.jpg?1706242115,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F532888%3Fpage%3D1
0.73,Avenger of Zendikar,585.9,Creature — Elemental,{5}{G}{G},G,,5,5,Landfall,mythic,"When this creature enters, create a 0/1 green Plant creature token for each land you control.
Landfall — Whenever a land you control enters, you may put a +1/+1 counter on each Plant creature you control.",254,https://cards.scryfall.io/png/front/0/4/047e6ce0-b38b-467e-8bc5-102c71054bae.png?1743206875,https://cards.scryfall.io/art_crop/front/0/4/047e6ce0-b38b-467e-8bc5-102c71054bae.jpg?1743206875,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624445%3Fpage%3D1
0.31,Azorius Signet,3156.2,Artifact,{2},,"U,W",,,,uncommon,"{1}, {T}: Add {W}{U}.",163,https://cards.scryfall.io/png/front/4/1/41c50b99-4a29-4bef-8d41-c548c8a61dac.png?1743207273,https://cards.scryfall.io/art_crop/front/4/1/41c50b99-4a29-4bef-8d41-c548c8a61dac.jpg?1743207273,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624198%3Fpage%3D1
0.45,Battlefield Forge,1803.8,Land,,,"C,R,W",,,,rare,"{T}: Add {C}.
{T}: Add {R} or {W}. This land deals 1 damage to you.",145,https://cards.scryfall.io/png/front/f/0/f09bf0b7-45fa-4315-b393-f3ec0303c0c2.png?1743207432,https://cards.scryfall.io/art_crop/front/f/0/f09bf0b7-45fa-4315-b393-f3ec0303c0c2.jpg?1743207432,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624204%3Fpage%3D1
0.83,Beast Within,12084.6,Instant,{2}{G},G,,,,,uncommon,Destroy target permanent. Its controller creates a 3/3 green Beast creature token.,22,https://cards.scryfall.io/png/front/7/9/79cd18e8-bffd-4937-b912-1b09bb4d2d4c.png?1743206887,https://cards.scryfall.io/art_crop/front/7/9/79cd18e8-bffd-4937-b912-1b09bb4d2d4c.jpg?1743206887,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624955%3Fpage%3D1
0.57,Become the Avalanche,389.3,Sorcery,{4}{G}{G},G,,,,,rare,"Draw a card for each creature you control with power 4 or greater. Then creatures you control get +X/+X until end of turn, where X is the number of cards in your hand.",12545,https://cards.scryfall.io/png/front/f/4/f49b7b11-ce78-44c4-98c2-dc8e2332c667.png?1743697531,https://cards.scryfall.io/art_crop/front/f/4/f49b7b11-ce78-44c4-98c2-dc8e2332c667.jpg?1743697531,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624953%3Fpage%3D1
10.08,Birds of Paradise,9168,Creature — Bird,{G},G,"B,G,R,U,W",0,1,Flying,rare,"Flying
{T}: Add one mana of any color.",38,https://cards.scryfall.io/png/front/3/d/3d69a3e0-6a2e-475a-964e-0affed1c017d.png?1722384747,https://cards.scryfall.io/art_crop/front/3/d/3d69a3e0-6a2e-475a-964e-0affed1c017d.jpg?1722384747,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F517666%3Fpage%3D1
1.4,Bladewing the Risen,2777.8,Legendary Creature — Zombie Dragon,{3}{B}{B}{R}{R},"B,R",,4,4,Flying,uncommon,"Flying
When Bladewing enters, you may return target Dragon permanent card from your graveyard to the battlefield.
{B}{R}: Dragon creatures get +1/+1 until end of turn.",2915,https://cards.scryfall.io/png/front/2/7/27ce43cb-44f4-4d94-8700-d9f3cc043989.png?1584897843,https://cards.scryfall.io/art_crop/front/2/7/27ce43cb-44f4-4d94-8700-d9f3cc043989.jpg?1584897843,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F145335%3Fpage%3D1
2.02,Blasphemous Act,10883.4,Sorcery,{8}{R},R,,,,,rare,"This spell costs {1} less to cast for each creature on the battlefield.
Blasphemous Act deals 13 damage to each creature.",25,https://cards.scryfall.io/png/front/2/c/2c971698-c0e4-4b68-808f-a3d1a73d80e4.png?1743206629,https://cards.scryfall.io/art_crop/front/2/c/2c971698-c0e4-4b68-808f-a3d1a73d80e4.jpg?1743206629,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624928%3Fpage%3D1
17.14,Blood Crypt,13767.6,Land — Swamp Mountain,,,"B,R",,,,rare,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",83,https://cards.scryfall.io/png/front/0/9/0994aef4-b341-45f4-8881-523565a5956e.png?1702429795,https://cards.scryfall.io/art_crop/front/0/9/0994aef4-b341-45f4-8881-523565a5956e.jpg?1702429795,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F517636%3Fpage%3D1
0.55,Bojuka Bog,7505.2,Land,,,B,,,,common,"This land enters tapped.
When this land enters, exile target player's graveyard.
{T}: Add {B}.",30,https://cards.scryfall.io/png/front/3/8/38834333-f9ea-43a8-b00a-17935d59eaea.png?1743207439,https://cards.scryfall.io/art_crop/front/3/8/38834333-f9ea-43a8-b00a-17935d59eaea.jpg?1743207439,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624293%3Fpage%3D1
,Boros Charm,5063.4,Instant,{R}{W},"R,W",,,,,uncommon,"Choose one —
• Boros Charm deals 4 damage to target player or planeswalker.
• Permanents you control gain indestructible until end of turn.
• Target creature gains double strike until end of turn.",165,https://cards.scryfall.io/png/front/e/0/e0d8c9f6-cbbd-4694-b100-01cfb81036cc.png?1736305704,https://cards.scryfall.io/art_crop/front/e/0/e0d8c9f6-cbbd-4694-b100-01cfb81036cc.jpg?1736305704,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F591057%3Fpage%3D1
0.34,Boros Signet,3053.6,Artifact,{2},,"R,W",,,,uncommon,"{1}, {T}: Add {R}{W}.",187,https://cards.scryfall.io/png/front/4/9/49c37c0e-d363-4033-a069-710241cd9923.png?1743207285,https://cards.scryfall.io/art_crop/front/4/9/49c37c0e-d363-4033-a069-710241cd9923.jpg?1743207285,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624199%3Fpage%3D1
0.14,Bountiful Landscape,316.5,Land,,,C,,,Cycling,common,"{T}: Add {C}.
{T}, Sacrifice this land: Search your library for a basic Forest, Island, or Mountain card, put it onto the battlefield tapped, then shuffle.
Cycling {G}{U}{R} ({G}{U}{R}, Discard this card: Draw a card.)",2426,https://cards.scryfall.io/png/front/f/1/f1c99617-6e38-4af7-a064-6db9a5e2cc6a.png?1743207443,https://cards.scryfall.io/art_crop/front/f/1/f1c99617-6e38-4af7-a064-6db9a5e2cc6a.jpg?1743207443,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624971%3Fpage%3D1
19.51,Breeding Pool,13656.5,Land — Forest Island,,,"G,U",,,,rare,"({T}: Add {G} or {U}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",70,https://cards.scryfall.io/png/front/9/b/9b35c030-029d-4286-ab79-0165c8688c6c.png?1702429800,https://cards.scryfall.io/art_crop/front/9/b/9b35c030-029d-4286-ab79-0165c8688c6c.jpg?1702429800,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F517662%3Fpage%3D1
1.16,Broodcaller Scourge,902,Creature — Dragon,{5}{G}{G},G,,5,7,Flying,rare,"Flying
Whenever one or more Dragons you control deal combat damage to a player, you may put a permanent card with mana value less than or equal to that damage from your hand onto the battlefield.",10576,https://cards.scryfall.io/png/front/6/f/6fc0a74b-0b8a-4c70-87f2-f9f2625d5ff2.png?1743205850,https://cards.scryfall.io/art_crop/front/6/f/6fc0a74b-0b8a-4c70-87f2-f9f2625d5ff2.jpg?1743205850,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624954%3Fpage%3D1
5.33,Call the Spirit Dragons,7016.7,Enchantment,{W}{U}{B}{R}{G},"B,G,R,U,W",,,,,mythic,"Dragons you control have indestructible.
At the beginning of your upkeep, for each color, put a +1/+1 counter on a Dragon you control of that color. If you put +1/+1 counters on five Dragons this way, you win the game.",13344,https://cards.scryfall.io/png/front/b/1/b1ad91db-5f16-4392-baf1-f8400ec11e0a.png?1743204672,https://cards.scryfall.io/art_crop/front/b/1/b1ad91db-5f16-4392-baf1-f8400ec11e0a.jpg?1743204672,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624537%3Fpage%3D1
0.19,Canopy Vista,3135.6,Land — Forest Plains,,,"G,W",,,,rare,"({T}: Add {G} or {W}.)
This land enters tapped unless you control two or more basic lands.",98,https://cards.scryfall.io/png/front/c/2/c2a85a8e-28bb-4899-a922-13a03dec844c.png?1743207450,https://cards.scryfall.io/art_crop/front/c/2/c2a85a8e-28bb-4899-a922-13a03dec844c.jpg?1743207450,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624596%3Fpage%3D1
,Captain N'ghathrod,271.7,Legendary Creature — Horror Pirate,{3}{U}{B},"B,U",,3,6,Mill,mythic,"Horrors you control have menace.
Whenever a Horror you control deals combat damage to a player, that player mills that many cards.
At the beginning of your end step, choose target artifact or creature card in an opponent's graveyard that was put there from their library this turn. Put it onto the battlefield under your control.",3878,https://cards.scryfall.io/png/front/5/5/55c02dc8-0743-400c-b334-ca029caf0463.png?1728436128,https://cards.scryfall.io/art_crop/front/5/5/55c02dc8-0743-400c-b334-ca029caf0463.jpg?1728436128,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F272612%3Fpage%3D1
1.52,Carnelian Orb of Dragonkind,2312.5,Artifact,{2}{R},R,R,,,,common,"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",1881,https://cards.scryfall.io/png/front/f/0/f0c07546-c5a1-4dfc-b5e1-d697578a8c11.png?1735228675,https://cards.scryfall.io/art_crop/front/f/0/f0c07546-c5a1-4dfc-b5e1-d697578a8c11.jpg?1735228675,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F591725%3Fpage%3D1
1.45,Cascading Cataracts,312.8,Land,,,"B,C,G,R,U,W",,,Indestructible,rare,"Indestructible
{T}: Add {C}.
{5}, {T}: Add five mana in any combination of colors.",1231,https://cards.scryfall.io/png/front/2/f/2f3fbd9b-91ab-4691-a916-e20db8ebc513.png?1673305958,https://cards.scryfall.io/art_crop/front/2/f/2f3fbd9b-91ab-4691-a916-e20db8ebc513.jpg?1673305958,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F283044%3Fpage%3D1
38.03,Cavern of Souls,1130.4,Land,,,"B,C,G,R,U,W",,,,mythic,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",112,https://cards.scryfall.io/png/front/3/a/3aad15a2-8a1b-4460-9b06-e85863081878.png?1706884128,https://cards.scryfall.io/art_crop/front/3/a/3aad15a2-8a1b-4460-9b06-e85863081878.jpg?1706884128,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F517603%3Fpage%3D1
0.76,Caves of Koilos,2752.2,Land,,,"B,C,W",,,,rare,"{T}: Add {C}.
{T}: Add {W} or {B}. This land deals 1 damage to you.",120,https://cards.scryfall.io/png/front/9/2/92bef577-f055-4d54-9a75-e9d4a125001c.png?1743207480,https://cards.scryfall.io/art_crop/front/9/2/92bef577-f055-4d54-9a75-e9d4a125001c.jpg?1743207480,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624313%3Fpage%3D1
0.48,Chaos Warp,9353.5,Instant,{2}{R},R,,,,,rare,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield.",29,https://cards.scryfall.io/png/front/3/e/3e78cf93-3b4e-4cd7-a9f8-0a8737013856.png?1743206633,https://cards.scryfall.io/art_crop/front/3/e/3e78cf93-3b4e-4cd7-a9f8-0a8737013856.jpg?1743206633,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624929%3Fpage%3D1
2.92,Chromatic Lantern,7200.9,Artifact,{3},,"B,G,R,U,W",,,,rare,"Lands you control have ""{T}: Add one mana of any color.""
{T}: Add one mana of any color.",65,https://cards.scryfall.io/png/front/8/f/8f6448b1-ffc7-43f0-b713-881016ce9485.png?1712354852,https://cards.scryfall.io/art_crop/front/8/f/8f6448b1-ffc7-43f0-b713-881016ce9485.jpg?1712354852,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F545096%3Fpage%3D1
0.23,Cinder Glade,8132.8,Land — Mountain Forest,,,"G,R",,,,rare,"({T}: Add {R} or {G}.)
This land enters tapped unless you control two or more basic lands.",86,https://cards.scryfall.io/png/front/d/7/d78f519f-28f7-4e53-9cb1-1a83577c1669.png?1743207491,https://cards.scryfall.io/art_crop/front/d/7/d78f519f-28f7-4e53-9cb1-1a83577c1669.jpg?1743207491,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624972%3Fpage%3D1
0.24,Clifftop Retreat,1859.2,Land,,,"R,W",,,,rare,"This land enters tapped unless you control a Mountain or a Plains.
{T}: Add {R} or {W}.",115,https://cards.scryfall.io/png/front/c/5/c5e81948-a362-4805-9bdf-ca65488a1a09.png?1743207500,https://cards.scryfall.io/art_crop/front/c/5/c5e81948-a362-4805-9bdf-ca65488a1a09.jpg?1743207500,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624206%3Fpage%3D1
8.58,Colossal Grave-Reaver,754.6,Creature — Dragon,{6}{B}{G},"B,G",,7,6,"Flying,Mill",rare,"Flying
Whenever this creature enters or attacks, mill three cards.
Whenever one or more creature cards are put into your graveyard from your library, put one of them onto the battlefield.",8603,https://cards.scryfall.io/png/front/7/c/7c3f7d76-528a-490a-852a-071adcd7bd55.png?1743205875,https://cards.scryfall.io/art_crop/front/7/c/7c3f7d76-528a-490a-852a-071adcd7bd55.jpg?1743205875,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624504%3Fpage%3D1
4.8,Command Beacon,572,Land,,,C,,,,rare,"{T}: Add {C}.
{T}, Sacrifice this land: Put your commander into your hand from the command zone.",219,https://cards.scryfall.io/png/front/4/3/435e9678-9ff3-4e5d-8061-3f806e1c2ed2.png?1743207502,https://cards.scryfall.io/art_crop/front/4/3/435e9678-9ff3-4e5d-8061-3f806e1c2ed2.jpg?1743207502,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624449%3Fpage%3D1
0.21,Command Tower,30563,Land,,,"B,G,R,U,W",,,,common,{T}: Add one mana of any color in your commander's color identity.,2,https://cards.scryfall.io/png/front/5/f/5fc770b6-03ac-45c3-a2ca-bd508096384e.png?1743206097,https://cards.scryfall.io/art_crop/front/5/f/5fc770b6-03ac-45c3-a2ca-bd508096384e.jpg?1743206097,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F623982%3Fpage%3D1
0.16,Commander's Sphere,5638.5,Artifact,{3},,"B,G,R,U,W",,,,common,"{T}: Add one mana of any color in your commander's color identity.
Sacrifice this artifact: Draw a card.",32,https://cards.scryfall.io/png/front/a/4/a4ce6b63-0b38-4582-94d5-c733af087038.png?1726285297,https://cards.scryfall.io/art_crop/front/a/4/a4ce6b63-0b38-4582-94d5-c733af087038.jpg?1726285297,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F579088%3Fpage%3D1
2.02,Conduit of Worlds,1038,Artifact,{2}{G}{G},G,,,,,rare,"You may play lands from your graveyard.
{T}: Choose target nonland permanent card in your graveyard. If you haven't cast a spell this turn, you may cast that card. If you do, you can't cast additional spells this turn. Activate only as a sorcery.",505,https://cards.scryfall.io/png/front/3/9/3930cca5-f10c-48eb-8ec8-2df521f5dfe9.png?1743206900,https://cards.scryfall.io/art_crop/front/3/9/3930cca5-f10c-48eb-8ec8-2df521f5dfe9.jpg?1743206900,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F624447%3Fpage%3D1
2.3,Counterspell,12922,Instant,{U}{U},U,,,,,uncommon,Counter target spell.,19,https://cards.scryfall.io/png/front/4/f/4f616706-ec97-4923-bb1e-11a69fbaa1f8.png?1726837907,https://cards.scryfall.io/art_crop/front/4/f/4f616706-ec97-4923-bb1e-11a69fbaa1f8.jpg?1726837907,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F577794%3Fpage%3D1
2.69,Crop Rotation,1056,Instant,{G},G,,,,,uncommon,"As an additional cost to cast this spell, sacrifice a land.
Search your library for a land card, put that card onto the battlefield, then shuffle.",223,https://cards.scryfall.io/png/front/5/2/523414cb-f8db-407a-808a-01454e03d8b9.png?1681724998,https://cards.scryfall.io/art_crop/front/5/2/523414cb-f8db-407a-808a-01454e03d8b9.jpg?1681724998,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F457142%3Fpage%3D1
1.6,Crucible of Fire,1442.1,Enchantment,{3}{R},R,,,,,rare,Dragon creatures you control get +3/+3.,2739,https://cards.scryfall.io/png/front/d/7/d7a6f4dd-29c9-4084-a622-098b197a6eb7.png?1562854632,https://cards.scryfall.io/art_crop/front/d/7/d7a6f4dd-29c9-4084-a622-098b197a6eb7.jpg?1562854632,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F145455%3Fpage%3D1
0.45,Crucible of the Spirit Dragon,1315.2,Land,,,"B,C,G,R,U,W",,,,rare,"{T}: Add {C}.
{1}, {T}: Put a storage counter on this land.
{T}, Remove X storage counters from this land: Add X mana in any combination of colors. Spend this mana only to cast Dragon spells or activate abilities of Dragons.",3025,https://cards.scryfall.io/png/front/2/5/257a5ae9-f754-4c45-a47d-5196f1b625b7.png?1631589508,https://cards.scryfall.io/art_crop/front/2/5/257a5ae9-f754-4c45-a47d-5196f1b625b7.jpg?1631589508,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F243899%3Fpage%3D1
0.24,Crumbling Necropolis,4145.4,Land,,,"B,R,U",,,,uncommon,"This land enters tapped.
{T}: Add {U}, {B}, or {R}.",320,https://cards.scryfall.io/png/front/d/3/d3600e12-5633-42fd-b1cc-e90790a16b20.png?1698988567,https://cards.scryfall.io/art_crop/front/d/3/d3600e12-5633-42fd-b1cc-e90790a16b20.jpg?1698988567,https://partner.tcgplayer.com/c/4931599/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F525843%3Fpage%3D1
